Company,TypeName,Inches,touchscreen,ipspanel,retinadisplay,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,Memory,hdd,ssd,flashstorage,hybrid,gpu_brand,gpu_name,OpSys,Weight_kg,Price,Price_VND
1,4,13.3,0,1,1,2560,1600,1, iris graphics 540,2,8,256GB SSD,0,256,0,0,2, iris graphics 540,1,1.37,75604,22000764
17,3,14,0,1,0,1920,1080,1, hd graphics 500,1.1,4,32GB Flash Storage,0,0,32,0,2, hd graphics 500,3,1.3,13853,4031223
2,1,17.3,0,0,0,1920,1080,0, radeon rx 580,3,8,256GB SSD +  1TB HDD,1024,256,0,0,0, radeon rx 580,3,3.2,69211,20140401
18,4,13.3,0,1,0,1920,1080,1, geforce mx150,2.5,8,256GB SSD,0,256,0,0,3, geforce mx150,3,1.3,53275,15503025
0,3,15.6,0,0,0,1920,1080,1, geforce 940mx,2.7,8,256GB SSD,0,256,0,0,3, geforce 940mx,3,2.2,44329,12899739
2,0,13.3,1,0,0,1920,1080,1, uhd graphics 620,1.8,8,512GB SSD +  512GB SSD,0,512,0,0,2, uhd graphics 620,3,4.1,79867,23241297
4,3,15.6,0,0,0,1366,768,1, hd graphics 400,1.6,4,500GB HDD,500,0,0,0,2, hd graphics 400,3,1.8,16464,4791024
2,4,14,0,0,0,1920,1080,1, uhd graphics 620,1.8,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.25,58555,17039505
2,3,14,0,0,0,1366,768,1, hd graphics 500,1.1,4,32GB Flash Storage,0,0,32,0,2, hd graphics 500,3,1.5,15238,4434258
0,3,15.6,0,0,0,1920,1080,1, geforce gtx 1050,2.8,8,1TB HDD,1024,0,0,0,3, geforce gtx 1050,0,2.4,45075,13116825
7,4,12.5,1,1,0,3840,2160,1, hd graphics 515,1.2,8,512GB SSD,0,512,0,0,2, hd graphics 515,3,0.97,107306,31226046
7,3,17.3,0,0,0,1920,1080,1, geforce 930mx ,1.8,8,1TB HDD,1024,0,0,0,3, geforce 930mx ,3,2.5,54239,15783549
2,3,15.6,0,0,0,1920,1080,1, hd graphics 500,1.1,4,1TB HDD,1024,0,0,0,2, hd graphics 500,3,2,18328,5333448
0,3,15.6,0,0,0,1366,768,1, hd graphics 520,2,4,1TB HDD,1024,0,0,0,2, hd graphics 520,3,2.1,23816,6930456
7,1,17.3,0,1,0,1920,1080,1, geforce gtx 1050,2.8,8,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce gtx 1050,3,3.35,63456,18465696
10,3,15.6,0,0,0,1920,1080,1, hd graphics 520,2,4,128GB SSD,0,128,0,0,2, hd graphics 520,3,1.85,21498,6255918
10,3,15.6,0,0,0,1920,1080,1, uhd graphics 620,1.8,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,2.05,46886,13643826
2,1,15.6,0,0,0,1920,1080,0, radeon rx 560,3,8,1TB HDD,1024,0,0,0,0, radeon rx 560,3,2.45,37243,10837713
2,1,15.6,0,1,0,1920,1080,1, geforce gtx 1060,2.8,8,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce gtx 1060,3,2.3,88178,25659798
1,4,13.3,0,1,1,2560,1600,1, iris graphics 550,2.9,8,512GB SSD,0,512,0,0,2, iris graphics 550,1,1.37,104370,30371670
0,3,15.6,0,0,0,1920,1080,1, geforce mx150,1.8,2,1TB HDD,1024,0,0,0,3, geforce mx150,3,2.2,36710,10682610
10,3,14,0,1,0,1920,1080,1, geforce 940mx,2.5,8,256GB SSD,0,256,0,0,3, geforce 940mx,3,1.5,58555,17039505
7,3,13.3,0,0,0,1920,1080,1, uhd graphics 620,1.8,16,512GB SSD,0,512,0,0,2, uhd graphics 620,3,1.49,63776,18558816
4,1,15.6,0,0,0,1920,1080,1, geforce gtx 1050,2.8,16,512GB SSD,0,512,0,0,3, geforce gtx 1050,3,2.56,66561,19369251
2,1,17.3,0,0,0,1920,1080,0, radeon rx 580,3,16,256GB SSD +  1TB HDD,1024,256,0,0,0, radeon rx 580,3,3.2,82531,24016521
4,1,15.6,0,0,0,1920,1080,1, geforce gtx 1060,2.5,8,256GB SSD,0,256,0,0,3, geforce gtx 1060,3,2.65,63670,18527970
10,3,14,0,1,0,1920,1080,1, hd graphics 620,2.7,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.7,31915,9287265
2,4,14,0,0,0,1920,1080,1, hd graphics 620,2.7,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.25,55891,16264281
4,1,15.6,0,0,0,1920,1080,1, geforce gtx 1050,2.8,8,1.0TB Hybrid,0,0,0,1024,3, geforce gtx 1050,3,2.62,47899,13938609
7,3,15.6,0,0,0,1920,1080,1, hd graphics 520,2,4,500GB HDD,500,0,0,0,2, hd graphics 520,3,1.86,18381,5348871
1,4,13.3,0,0,0,1440,900,1, hd graphics 6000,1.8,8,128GB Flash Storage,0,0,128,0,2, hd graphics 6000,1,1.34,47896,13937736
4,3,15.6,0,0,0,1920,1080,1, radeon 520,1.8,8,256GB SSD,0,256,0,0,0, radeon 520,0,2.14,39165,11397015
11,1,17.3,0,0,0,1920,1080,1, geforce gtx 1060,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1060,3,2.8,100699,29303409
0,0,13.3,1,1,0,1920,1080,1, uhd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.5,45128,13132248
7,3,15.6,0,0,0,1920,1080,1, hd graphics 620,2.5,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.86,30636,8915076
10,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.5,4,128GB SSD,0,128,0,0,2, hd graphics 620,3,1.9,26533,7721103
1,4,15.4,0,1,1,2880,1800,1, radeon pro 455,2.7,16,512GB SSD,0,512,0,0,0, radeon pro 455,1,1.83,135195,39341745
10,0,14,1,0,0,2560,1440,1, hd graphics 520,2.6,16,512GB SSD,0,512,0,0,2, hd graphics 520,3,1.36,133147,38745777
1,4,13.3,0,1,1,2560,1600,1, iris plus graphics 650,3.1,8,256GB SSD,0,256,0,0,2, iris plus graphics 650,1,1.37,96096,27963936
2,4,13.3,1,0,0,1920,1080,1, hd graphics 620,2.7,16,512GB SSD,0,512,0,0,2, hd graphics 620,3,1.1,93181,27115671
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2.7,8,1TB HDD,1024,0,0,0,0, radeon r5 m430,0,2.2,31963,9301233
10,4,14,0,1,0,2560,1440,1, hd graphics 620,2.7,8,512GB SSD,0,512,0,0,2, hd graphics 620,3,1.13,121585,35381235
0,3,15.6,0,0,0,1366,768,1, hd graphics 500,1.1,4,1TB HDD,1024,0,0,0,2, hd graphics 500,3,2.1,18541,5395431
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2,4,256GB SSD,0,256,0,0,0, radeon r5 m430,0,2.2,25841,7519731
0,3,15.6,0,0,0,1366,768,0, radeon r5,3,4,500GB HDD,500,0,0,0,0, radeon r5,3,2.1,21312,6201792
2,3,15.6,0,0,0,1920,1080,1, geforce 920m,2.4,6,256GB SSD,0,256,0,0,3, geforce 920m,3,2,30743,8946213
16,3,15.6,0,0,0,1366,768,1, geforce 930m,2.5,8,500GB HDD,500,0,0,0,3, geforce 930m,3,2.2,43263,12589533
1,4,15.4,0,1,1,2880,1800,1, radeon pro 555,2.8,16,256GB SSD,0,256,0,0,0, radeon pro 555,1,1.83,130002,37830582
7,4,14,0,0,0,1920,1080,1, hd graphics 620,2.7,4,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.48,57649,16775859
10,3,13.3,0,1,0,1920,1080,1, hd graphics 620,2.4,4,128GB SSD,0,128,0,0,2, hd graphics 620,3,1.5,29251,8512041
1,4,15.4,0,1,1,2880,1800,1, iris pro graphics,2.2,16,256GB Flash Storage,0,0,256,0,2, iris pro graphics,1,2.04,114018,33179238
4,5,15.6,0,0,0,1920,1080,1, firepro w5130m,2.6,8,500GB HDD,500,0,0,0,0, firepro w5130m,3,2.23,72940,21225540
7,1,15.6,0,1,0,1920,1080,1, geforce gtx 1050,2.8,12,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce gtx 1050,3,2.62,66547,19365177
7,3,15.6,0,0,0,1920,1080,1, radeon 520,1.6,6,256GB SSD,0,256,0,0,0, radeon 520,3,1.91,32980,9597180
4,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.7,12,1TB HDD,1024,0,0,0,2, hd graphics 620,3,2.3,37992,11055672
1,4,13.3,0,0,0,1440,900,1, hd graphics 6000,1.8,8,256GB Flash Storage,0,0,256,0,2, hd graphics 6000,1,1.34,61736,17965176
4,5,15.6,0,1,0,1920,1080,1, quadro m1200,2.7,8,256GB SSD,0,256,0,0,3, quadro m1200,3,2,113753,33102123
10,0,14,1,1,0,1920,1080,1, hd graphics 620,2.4,4,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.74,33513,9752283
4,3,17.3,0,0,0,1920,1080,1, radeon 530,1.8,8,128GB SSD +  1TB HDD,1024,128,0,0,0, radeon 530,0,2.8,58555,17039505
2,4,14,0,0,0,1920,1080,1, geforce mx150,1.8,16,512GB SSD,0,512,0,0,3, geforce mx150,3,1.3,79654,23179314
11,1,15.6,0,1,0,1920,1080,1, geforce gtx 1060,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1060,3,2.4,95851,27892641
10,0,14,1,0,0,2560,1440,1, hd graphics 620,2.7,16,512GB SSD,0,512,0,0,2, hd graphics 620,3,1.42,133680,38900880
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2,4,256GB SSD,0,256,0,0,0, radeon r5 m430,3,2.2,26581,7735071
0,4,14,0,1,0,1920,1080,1, uhd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.6,41026,11938566
7,3,15.6,0,0,0,1920,1080,1, radeon 530,2.7,8,256GB SSD,0,256,0,0,0, radeon 530,3,1.91,38308,11147628
0,3,15.6,0,1,0,1920,1080,1, geforce mx130,1.8,8,1TB HDD,1024,0,0,0,3, geforce mx130,3,2.2,39694,11550954
2,0,13.3,1,0,0,1920,1080,1, hd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.1,70063,20388333
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2.5,4,256GB SSD,0,256,0,0,0, radeon r5 m430,3,2.3,34046,9907386
1,4,12,0,1,1,2304,1440,1, hd graphics 615,1.2,8,256GB SSD,0,256,0,0,2, hd graphics 615,1,0.92,67261,19572951
10,3,17.3,0,0,0,1600,900,1, hd graphics 520,2,4,1TB HDD,1024,0,0,0,2, hd graphics 520,3,2.8,26054,7581714
7,3,15.6,0,0,0,1366,768,1, hd graphics 620,2.5,4,500GB HDD,500,0,0,0,2, hd graphics 620,3,1.86,20987,6107217
0,3,15.6,0,0,0,1366,768,1, hd graphics 505,1.1,4,1TB HDD,1024,0,0,0,2, hd graphics 505,3,2.1,19368,5636088
10,3,17.3,0,0,0,1920,1080,1, geforce mx150,1.8,8,2TB HDD,2048,0,0,0,3, geforce mx150,3,2.8,45235,13163385
2,3,14,0,0,0,1920,1080,1, uhd graphics 620,1.6,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.4,50136,14589576
2,1,17.3,0,0,0,1920,1080,1, geforce gtx 1050,2.8,8,1TB HDD,1024,0,0,0,3, geforce gtx 1050,3,3,55358,16109178
4,0,15.6,1,0,0,1920,1080,1, uhd graphics 620,1.8,8,256GB SSD,0,256,0,0,2, uhd graphics 620,3,1.56,55891,16264281
10,3,17.3,0,0,0,1600,900,1, geforce mx150,1.6,8,256GB SSD,0,256,0,0,3, geforce mx150,3,2.8,37189,10821999
2,1,17.3,0,0,0,1920,1080,1, geforce gtx 1050 ti,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 1050 ti,3,3,84768,24667488
1,4,13.3,0,1,1,2560,1600,1, iris plus graphics 640,2.3,8,256GB SSD,0,256,0,0,2, iris plus graphics 640,1,1.37,80908,23544228
4,0,13.3,1,1,0,1920,1080,1, uhd graphics 620,1.8,8,1TB HDD,1024,0,0,0,2, uhd graphics 620,3,1.62,44702,13008282
2,1,17.3,0,0,0,1920,1080,1, geforce gtx 980m,2.8,16,256GB SSD +  1TB HDD,1024,256,0,0,3, geforce gtx 980m,3,4.3,95851,27892641
16,3,15.6,0,0,0,1366,768,1, hd graphics 520,2.2,4,500GB HDD,500,0,0,0,2, hd graphics 520,3,2.1,23816,6930456
4,3,15.6,1,0,0,1920,1080,1, radeon r7 m445,2.7,16,1TB HDD,1024,0,0,0,0, radeon r7 m445,3,2.3,45768,13318488
4,1,15.6,0,0,0,1920,1080,1, geforce gtx 1050,2.8,8,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce gtx 1050,3,2.56,56503,16442373
2,3,17.3,0,0,0,1366,768,1, geforce 920mx,1.1,4,1TB HDD,1024,0,0,0,3, geforce 920mx,3,2.8,24828,7224948
7,3,15.6,0,0,0,1920,1080,0, radeon r2,1.5,4,500GB HDD,500,0,0,0,0, radeon r2,3,2.1,18595,5411145
7,3,17.3,0,1,0,1920,1080,1, geforce 930mx,1.6,8,1TB HDD,1024,0,0,0,3, geforce 930mx,3,2.5,48698,14171118
4,3,15.6,0,0,0,1920,1080,1, radeon r5 m430,2.7,8,256GB SSD,0,256,0,0,0, radeon r5 m430,3,2.2,39694,11550954
7,3,15.6,0,0,0,1920,1080,1, hd graphics 620,2.5,8,256GB SSD,0,256,0,0,2, hd graphics 620,3,1.86,36763,10698033
10,3,17.3,0,0,0,1600,900,1, geforce 940mx,2.7,6,128GB SSD +  1TB HDD,1024,128,0,0,3, geforce 940mx,3,2.8,45768,13318488
